Country,Month,Total Passengers,Year
Iceland,01 December 2018,148339,2018
United Arab Emirates,01 December 2018,322398,2018
Israel,01 December 2018,117560,2018
Switzerland,01 December 2018,195287,2018
Australia,01 December 2018,305772,2018
Honduras,01 December 2018,95008,2018
El Salvador,01 December 2018,195949,2018
Dominican Republic,01 December 2018,631092,2018
China,01 December 2018,706722,2018
Chile,01 December 2018,99792,2018
Ecuador,01 December 2018,98705,2018
New Zealand,01 December 2018,117850,2018
Philippines,01 December 2018,100483,2018
Denmark,01 December 2018,62020,2018
Trinidad and Tobago,01 December 2018,91311,2018
Belgium,01 December 2018,67112,2018
Colombia,01 December 2018,380039,2018
Antilles,01 December 2018,78003,2018
France,01 December 2018,595764,2018
Germany,01 December 2018,763983,2018
Bahamas,01 December 2018,278590,2018
Ireland,01 December 2018,243046,2018
Hong Kong,01 December 2018,339258,2018
Japan,01 December 2018,864366,2018
Mexico,01 December 2018,2837900,2018
Canada,01 December 2018,2565968,2018
Taiwan,01 December 2018,253461,2018
Aruba,01 December 2018,146290,2018
Atlantic Ocean,01 December 2018,46000,2018
Netherlands,01 December 2018,418972,2018
Argentina,01 December 2018,146856,2018
Costa Rica,01 December 2018,289230,2018
United Kingdom,01 December 2018,1582021,2018
Peru,01 December 2018,161918,2018
Spain,01 December 2018,285645,2018
Panama,01 December 2018,339703,2018
Haiti,01 December 2018,92979,2018
Brazil,01 December 2018,491016,2018
Guatemala,01 December 2018,163527,2018
Italy,01 December 2018,210624,2018
Cayman Islands,01 December 2018,97118,2018
Jamaica,01 December 2018,371404,2018
South Korea,01 December 2018,523871,2018
Turkey,01 December 2018,159007,2018
Russia,01 December 2018,62179,2018
Venezuela,01 December 2018,38125,2018
China,01 November 2018,612317,2018
Japan,01 November 2018,849664,2018
Atlantic Ocean,01 November 2018,50321,2018
Dominican Republic,01 November 2018,513230,2018
Russia,01 November 2018,58828,2018
Bahamas,01 November 2018,226138,2018
Costa Rica,01 November 2018,196506,2018
Guatemala,01 November 2018,145082,2018
Colombia,01 November 2018,326620,2018
Ecuador,01 November 2018,92255,2018
Mexico,01 November 2018,2406278,2018
Trinidad and Tobago,01 November 2018,72220,2018
Philippines,01 November 2018,82052,2018
Canada,01 November 2018,2459272,2018
Honduras,01 November 2018,70417,2018
El Salvador,01 November 2018,177327,2018
Jamaica,01 November 2018,303641,2018
Taiwan,01 November 2018,249565,2018
New Zealand,01 November 2018,93301,2018
Netherlands,01 November 2018,405844,2018
Denmark,01 November 2018,61436,2018
Chile,01 November 2018,85530,2018
Iceland,01 November 2018,170593,2018
Switzerland,01 November 2018,172299,2018
Ireland,01 November 2018,261522,2018
Australia,01 November 2018,264759,2018
United Arab Emirates,01 November 2018,271235,2018
Hong Kong,01 November 2018,317880,2018
Israel,01 November 2018,123605,2018
Panama,01 November 2018,288803,2018
Germany,01 November 2018,743137,2018
Argentina,01 November 2018,128041,2018
Brazil,01 November 2018,397868,2018
Italy,01 November 2018,201861,2018
Aruba,01 November 2018,127680,2018
Antilles,01 November 2018,55623,2018
France,01 November 2018,581352,2018
Belgium,01 November 2018,66343,2018
Cayman Islands,01 November 2018,78857,2018
Peru,01 November 2018,150457,2018
Spain,01 November 2018,275525,2018
Haiti,01 November 2018,77442,2018
South Korea,01 November 2018,476358,2018
Turkey,01 November 2018,152892,2018
United Kingdom,01 November 2018,1542810,2018
Venezuela,01 November 2018,32943,2018
Netherlands,01 October 2018,529090,2018
Spain,01 October 2018,411832,2018
Antilles,01 October 2018,42073,2018
Aruba,01 October 2018,116273,2018
Atlantic Ocean,01 October 2018,54705,2018
Hong Kong,01 October 2018,321531,2018
Canada,01 October 2018,2597009,2018
China,01 October 2018,706913,2018
Japan,01 October 2018,866717,2018
Belgium,01 October 2018,83624,2018
Italy,01 October 2018,368071,2018
Argentina,01 October 2018,131447,2018
Bahamas,01 October 2018,179198,2018
Cayman Islands,01 October 2018,57656,2018
Germany,01 October 2018,926787,2018
France,01 October 2018,748257,2018
Ireland,01 October 2018,341139,2018
Colombia,01 October 2018,298254,2018
Russia,01 October 2018,69389,2018
Mexico,01 October 2018,2095593,2018
Trinidad and Tobago,01 October 2018,66828,2018
Philippines,01 October 2018,65836,2018
New Zealand,01 October 2018,86382,2018
Taiwan,01 October 2018,243373,2018
Guatemala,01 October 2018,96999,2018
Israel,01 October 2018,148483,2018
Australia,01 October 2018,284762,2018
Switzerland,01 October 2018,229478,2018
United Arab Emirates,01 October 2018,277371,2018
Denmark,01 October 2018,92998,2018
Iceland,01 October 2018,246179,2018
Peru,01 October 2018,158119,2018
United Kingdom,01 October 2018,1931048,2018
Costa Rica,01 October 2018,148482,2018
Jamaica,01 October 2018,274505,2018
South Korea,01 October 2018,552411,2018
Turkey,01 October 2018,182927,2018
Chile,01 October 2018,86103,2018
El Salvador,01 October 2018,156446,2018
Ecuador,01 October 2018,91370,2018
Honduras,01 October 2018,66237,2018
Haiti,01 October 2018,81059,2018
Dominican Republic,01 October 2018,462098,2018
Panama,01 October 2018,276531,2018
Venezuela,01 October 2018,32066,2018
Brazil,01 October 2018,370777,2018
Switzerland,01 September 2018,236794,2018
China,01 September 2018,711136,2018
Spain,01 September 2018,451625,2018
Netherlands,01 September 2018,546977,2018
Russia,01 September 2018,91802,2018
Aruba,01 September 2018,106947,2018
Chile,01 September 2018,83327,2018
Iceland,01 September 2018,305304,2018
Germany,01 September 2018,1014288,2018
Atlantic Ocean,01 September 2018,53945,2018
Argentina,01 September 2018,132003,2018
Ireland,01 September 2018,380851,2018
Italy,01 September 2018,451092,2018
Belgium,01 September 2018,82762,2018
Antilles,01 September 2018,35140,2018
France,01 September 2018,780490,2018
Colombia,01 September 2018,296209,2018
Trinidad and Tobago,01 September 2018,69080,2018
Philippines,01 September 2018,64915,2018
Mexico,01 September 2018,1791146,2018
Canada,01 September 2018,2514491,2018
Taiwan,01 September 2018,236321,2018
New Zealand,01 September 2018,86379,2018
Hong Kong,01 September 2018,297157,2018
United Arab Emirates,01 September 2018,317700,2018
Israel,01 September 2018,116349,2018
Denmark,01 September 2018,99213,2018
Ecuador,01 September 2018,95675,2018
Australia,01 September 2018,276934,2018
El Salvador,01 September 2018,150708,2018
Turkey,01 September 2018,186682,2018
United Kingdom,01 September 2018,1903941,2018
Jamaica,01 September 2018,253330,2018
Bahamas,01 September 2018,144946,2018
Cayman Islands,01 September 2018,44788,2018
Guatemala,01 September 2018,82428,2018
Brazil,01 September 2018,372499,2018
Peru,01 September 2018,151961,2018
Panama,01 September 2018,272999,2018
Honduras,01 September 2018,66293,2018
Dominican Republic,01 September 2018,462935,2018
Haiti,01 September 2018,86363,2018
Costa Rica,01 September 2018,144154,2018
South Korea,01 September 2018,528622,2018
Japan,01 September 2018,865017,2018
Venezuela,01 September 2018,34342,2018
United Arab Emirates,01 August 2018,374901,2018
Denmark,01 August 2018,117992,2018
Israel,01 August 2018,160662,2018
Australia,01 August 2018,264410,2018
China,01 August 2018,838760,2018
Honduras,01 August 2018,92735,2018
Panama,01 August 2018,327857,2018
El Salvador,01 August 2018,185288,2018
Switzerland,01 August 2018,276534,2018
Ecuador,01 August 2018,116696,2018
New Zealand,01 August 2018,77459,2018
Taiwan,01 August 2018,274806,2018
Trinidad and Tobago,01 August 2018,97812,2018
Philippines,01 August 2018,86758,2018
Haiti,01 August 2018,135600,2018
Aruba,01 August 2018,136352,2018
Russia,01 August 2018,95200,2018
Netherlands,01 August 2018,599626,2018
Spain,01 August 2018,498705,2018
Antilles,01 August 2018,51989,2018
Belgium,01 August 2018,101954,2018
Atlantic Ocean,01 August 2018,87938,2018
Mexico,01 August 2018,2584240,2018
Iceland,01 August 2018,396164,2018
Canada,01 August 2018,2987424,2018
Chile,01 August 2018,91770,2018
Colombia,01 August 2018,340076,2018
Dominican Republic,01 August 2018,700272,2018
Bahamas,01 August 2018,304291,2018
Japan,01 August 2018,990730,2018
South Korea,01 August 2018,590866,2018
Germany,01 August 2018,1108312,2018
Hong Kong,01 August 2018,372253,2018
Jamaica,01 August 2018,414827,2018
United Kingdom,01 August 2018,2144150,2018
Turkey,01 August 2018,199313,2018
Peru,01 August 2018,171536,2018
Costa Rica,01 August 2018,231965,2018
Ireland,01 August 2018,425314,2018
Argentina,01 August 2018,136948,2018
France,01 August 2018,913270,2018
Italy,01 August 2018,506183,2018
Guatemala,01 August 2018,116475,2018
Cayman Islands,01 August 2018,88430,2018
Brazil,01 August 2018,411454,2018
Venezuela,01 August 2018,34372,2018
Denmark,01 July 2018,124237,2018
United Arab Emirates,01 July 2018,409308,2018
Israel,01 July 2018,148756,2018
Hong Kong,01 July 2018,378109,2018
Switzerland,01 July 2018,268790,2018
Haiti,01 July 2018,126089,2018
Panama,01 July 2018,352989,2018
Ecuador,01 July 2018,112894,2018
Chile,01 July 2018,101888,2018
Australia,01 July 2018,288651,2018
Taiwan,01 July 2018,269149,2018
New Zealand,01 July 2018,93733,2018
Philippines,01 July 2018,95167,2018
Trinidad and Tobago,01 July 2018,93742,2018
Ireland,01 July 2018,419053,2018
Japan,01 July 2018,927558,2018
Germany,01 July 2018,1112043,2018
Iceland,01 July 2018,347466,2018
South Korea,01 July 2018,638931,2018
France,01 July 2018,935069,2018
Netherlands,01 July 2018,583798,2018
China,01 July 2018,780264,2018
Russia,01 July 2018,97460,2018
Bahamas,01 July 2018,331415,2018
Jamaica,01 July 2018,455381,2018
Colombia,01 July 2018,353961,2018
Mexico,01 July 2018,3067783,2018
Canada,01 July 2018,2914493,2018
Guatemala,01 July 2018,130685,2018
Honduras,01 July 2018,110688,2018
Dominican Republic,01 July 2018,811549,2018
El Salvador,01 July 2018,181298,2018
Turkey,01 July 2018,199331,2018
Brazil,01 July 2018,444655,2018
Costa Rica,01 July 2018,279497,2018
United Kingdom,01 July 2018,2187056,2018
Peru,01 July 2018,168190,2018
Cayman Islands,01 July 2018,105056,2018
Atlantic Ocean,01 July 2018,84761,2018
Antilles,01 July 2018,55614,2018
Aruba,01 July 2018,153911,2018
Spain,01 July 2018,496041,2018
Belgium,01 July 2018,97924,2018
Argentina,01 July 2018,144374,2018
Italy,01 July 2018,507954,2018
Venezuela,01 July 2018,33252,2018
El Salvador,01 June 2018,157780,2018
Haiti,01 June 2018,120340,2018
Dominican Republic,01 June 2018,688007,2018
Honduras,01 June 2018,98193,2018
Mexico,01 June 2018,2735138,2018
Bahamas,01 June 2018,287845,2018
Ecuador,01 June 2018,102988,2018
Guatemala,01 June 2018,111960,2018
China,01 June 2018,768048,2018
Iceland,01 June 2018,325780,2018
Netherlands,01 June 2018,577093,2018
Japan,01 June 2018,924945,2018
Ireland,01 June 2018,418285,2018
Cayman Islands,01 June 2018,92674,2018
Germany,01 June 2018,1064715,2018
Atlantic Ocean,01 June 2018,79313,2018
Canada,01 June 2018,2720275,2018
Russia,01 June 2018,95896,2018
Taiwan,01 June 2018,261233,2018
New Zealand,01 June 2018,80084,2018
Philippines,01 June 2018,95290,2018
Israel,01 June 2018,155171,2018
Switzerland,01 June 2018,245530,2018
Chile,01 June 2018,87522,2018
Panama,01 June 2018,321087,2018
Trinidad and Tobago,01 June 2018,78584,2018
Hong Kong,01 June 2018,356721,2018
Australia,01 June 2018,277808,2018
United Arab Emirates,01 June 2018,368934,2018
Denmark,01 June 2018,118351,2018
France,01 June 2018,872348,2018
Italy,01 June 2018,487318,2018
Argentina,01 June 2018,140154,2018
Spain,01 June 2018,470727,2018
Aruba,01 June 2018,133081,2018
Belgium,01 June 2018,94653,2018
Antilles,01 June 2018,47634,2018
Brazil,01 June 2018,399383,2018
United Kingdom,01 June 2018,2113120,2018
Jamaica,01 June 2018,385331,2018
Costa Rica,01 June 2018,248732,2018
Peru,01 June 2018,161663,2018
Turkey,01 June 2018,189440,2018
South Korea,01 June 2018,612993,2018
Venezuela,01 June 2018,29121,2018
Colombia,01 June 2018,329997,2018
United Arab Emirates,01 May 2018,338853,2018
Hong Kong,01 May 2018,359262,2018
Israel,01 May 2018,139815,2018
China,01 May 2018,762028,2018
Australia,01 May 2018,259881,2018
Denmark,01 May 2018,97759,2018
Panama,01 May 2018,291839,2018
Japan,01 May 2018,857830,2018
Chile,01 May 2018,98081,2018
Switzerland,01 May 2018,206589,2018
Russia,01 May 2018,76455,2018
Venezuela,01 May 2018,30349,2018
Trinidad and Tobago,01 May 2018,73952,2018
Taiwan,01 May 2018,250065,2018
New Zealand,01 May 2018,73757,2018
Philippines,01 May 2018,98765,2018
Iceland,01 May 2018,231479,2018
Netherlands,01 May 2018,550265,2018
Haiti,01 May 2018,97195,2018
Germany,01 May 2018,956418,2018
Atlantic Ocean,01 May 2018,67784,2018
Antilles,01 May 2018,44563,2018
Aruba,01 May 2018,131171,2018
Spain,01 May 2018,412504,2018
Dominican Republic,01 May 2018,586119,2018
Guatemala,01 May 2018,91226,2018
Canada,01 May 2018,2557779,2018
Mexico,01 May 2018,2439272,2018
Ecuador,01 May 2018,103256,2018
El Salvador,01 May 2018,137254,2018
Honduras,01 May 2018,77505,2018
Jamaica,01 May 2018,334023,2018
South Korea,01 May 2018,579237,2018
Turkey,01 May 2018,187943,2018
Costa Rica,01 May 2018,210681,2018
United Kingdom,01 May 2018,1912892,2018
Peru,01 May 2018,170982,2018
Brazil,01 May 2018,420512,2018
France,01 May 2018,742702,2018
Belgium,01 May 2018,88275,2018
Ireland,01 May 2018,363787,2018
Italy,01 May 2018,411762,2018
Cayman Islands,01 May 2018,79711,2018
Bahamas,01 May 2018,261682,2018
Argentina,01 May 2018,159325,2018
Colombia,01 May 2018,297755,2018
Jamaica,01 April 2018,335435,2018
Haiti,01 April 2018,99650,2018
Mexico,01 April 2018,2584552,2018
Ecuador,01 April 2018,101867,2018
China,01 April 2018,684552,2018
Japan,01 April 2018,798828,2018
Guatemala,01 April 2018,96899,2018
Canada,01 April 2018,2627949,2018
Bahamas,01 April 2018,280010,2018
South Korea,01 April 2018,539122,2018
Netherlands,01 April 2018,507888,2018
Hong Kong,01 April 2018,327401,2018
Honduras,01 April 2018,73818,2018
El Salvador,01 April 2018,134905,2018
Dominican Republic,01 April 2018,601236,2018
Taiwan,01 April 2018,239698,2018
New Zealand,01 April 2018,84851,2018
Trinidad and Tobago,01 April 2018,72102,2018
Philippines,01 April 2018,91351,2018
Aruba,01 April 2018,145149,2018
Chile,01 April 2018,91849,2018
Panama,01 April 2018,277087,2018
Costa Rica,01 April 2018,252368,2018
Peru,01 April 2018,148713,2018
Israel,01 April 2018,124389,2018
Australia,01 April 2018,268693,2018
Denmark,01 April 2018,88114,2018
Switzerland,01 April 2018,201902,2018
United Arab Emirates,01 April 2018,311834,2018
France,01 April 2018,626937,2018
Germany,01 April 2018,799546,2018
Ireland,01 April 2018,282877,2018
Atlantic Ocean,01 April 2018,60853,2018
Spain,01 April 2018,340108,2018
Belgium,01 April 2018,89597,2018
Antilles,01 April 2018,46625,2018
Argentina,01 April 2018,153032,2018
Turkey,01 April 2018,177776,2018
United Kingdom,01 April 2018,1687886,2018
Iceland,01 April 2018,164800,2018
Cayman Islands,01 April 2018,89779,2018
Italy,01 April 2018,333249,2018
Brazil,01 April 2018,385866,2018
Venezuela,01 April 2018,29642,2018
Colombia,01 April 2018,283687,2018
Russia,01 April 2018,69359,2018
Denmark,01 March 2018,76661,2018
Switzerland,01 March 2018,179639,2018
United Arab Emirates,01 March 2018,344412,2018
China,01 March 2018,678889,2018
Iceland,01 March 2018,164899,2018
Haiti,01 March 2018,105405,2018
Costa Rica,01 March 2018,317187,2018
Panama,01 March 2018,305624,2018
Chile,01 March 2018,95885,2018
Philippines,01 March 2018,84933,2018
Trinidad and Tobago,01 March 2018,69642,2018
Taiwan,01 March 2018,259445,2018
New Zealand,01 March 2018,101965,2018
Australia,01 March 2018,251990,2018
Peru,01 March 2018,159986,2018
Honduras,01 March 2018,84276,2018
Dominican Republic,01 March 2018,667360,2018
El Salvador,01 March 2018,148625,2018
Netherlands,01 March 2018,415507,2018
Hong Kong,01 March 2018,326644,2018
Japan,01 March 2018,924050,2018
Brazil,01 March 2018,399060,2018
Canada,01 March 2018,2896005,2018
Bahamas,01 March 2018,311542,2018
Guatemala,01 March 2018,109897,2018
Israel,01 March 2018,133747,2018
Jamaica,01 March 2018,342354,2018
Mexico,01 March 2018,2986987,2018
Ecuador,01 March 2018,104722,2018
Aruba,01 March 2018,157509,2018
Cayman Islands,01 March 2018,103110,2018
Argentina,01 March 2018,170057,2018
Italy,01 March 2018,224836,2018
United Kingdom,01 March 2018,1532753,2018
South Korea,01 March 2018,530377,2018
Turkey,01 March 2018,167797,2018
Antilles,01 March 2018,46921,2018
Belgium,01 March 2018,75864,2018
Spain,01 March 2018,282609,2018
Atlantic Ocean,01 March 2018,46949,2018
Ireland,01 March 2018,245682,2018
Germany,01 March 2018,758713,2018
France,01 March 2018,560522,2018
Colombia,01 March 2018,300513,2018
Venezuela,01 March 2018,26686,2018
Russia,01 March 2018,69717,2018
United Arab Emirates,01 February 2018,279859,2018
Hong Kong,01 February 2018,269178,2018
Denmark,01 February 2018,51864,2018
Iceland,01 February 2018,117143,2018
Russia,01 February 2018,50269,2018
Israel,01 February 2018,104192,2018
Chile,01 February 2018,98453,2018
Spain,01 February 2018,165106,2018
Switzerland,01 February 2018,127046,2018
Ireland,01 February 2018,134778,2018
Australia,01 February 2018,224380,2018
New Zealand,01 February 2018,97695,2018
Taiwan,01 February 2018,234381,2018
Trinidad and Tobago,01 February 2018,72079,2018
Philippines,01 February 2018,80682,2018
Honduras,01 February 2018,61859,2018
Dominican Republic,01 February 2018,519512,2018
Panama,01 February 2018,273715,2018
El Salvador,01 February 2018,130124,2018
China,01 February 2018,600286,2018
Aruba,01 February 2018,127246,2018
Japan,01 February 2018,790583,2018
Netherlands,01 February 2018,305422,2018
Canada,01 February 2018,2383977,2018
Guatemala,01 February 2018,84635,2018
Bahamas,01 February 2018,216211,2018
Mexico,01 February 2018,2382877,2018
Brazil,01 February 2018,414896,2018
Haiti,01 February 2018,86232,2018
Ecuador,01 February 2018,86775,2018
Jamaica,01 February 2018,270291,2018
Atlantic Ocean,01 February 2018,35431,2018
South Korea,01 February 2018,503899,2018
Turkey,01 February 2018,132565,2018
Costa Rica,01 February 2018,261771,2018
United Kingdom,01 February 2018,1073176,2018
Peru,01 February 2018,148828,2018
France,01 February 2018,385577,2018
Antilles,01 February 2018,41752,2018
Belgium,01 February 2018,52060,2018
Italy,01 February 2018,123136,2018
Cayman Islands,01 February 2018,78089,2018
Germany,01 February 2018,519623,2018
Argentina,01 February 2018,153342,2018
Venezuela,01 February 2018,24698,2018
Colombia,01 February 2018,260546,2018
Denmark,01 January 2018,61549,2018
United Arab Emirates,01 January 2018,368303,2018
Switzerland,01 January 2018,153639,2018
Israel,01 January 2018,126426,2018
Iceland,01 January 2018,144680,2018
Haiti,01 January 2018,100459,2018
Spain,01 January 2018,203019,2018
Panama,01 January 2018,308397,2018
Chile,01 January 2018,111769,2018
Australia,01 January 2018,300719,2018
Taiwan,01 January 2018,270630,2018
Philippines,01 January 2018,94793,2018
New Zealand,01 January 2018,113332,2018
Trinidad and Tobago,01 January 2018,75328,2018
United Kingdom,01 January 2018,1279467,2018
Hong Kong,01 January 2018,303062,2018
Honduras,01 January 2018,80205,2018
Dominican Republic,01 January 2018,575650,2018
South Korea,01 January 2018,592969,2018
Bahamas,01 January 2018,208170,2018
Costa Rica,01 January 2018,299243,2018
Japan,01 January 2018,823500,2018
China,01 January 2018,661606,2018
Guatemala,01 January 2018,105674,2018
Canada,01 January 2018,2379487,2018
Mexico,01 January 2018,2754174,2018
El Salvador,01 January 2018,158785,2018
Ecuador,01 January 2018,91644,2018
Jamaica,01 January 2018,316957,2018
Netherlands,01 January 2018,356435,2018
Cayman Islands,01 January 2018,94810,2018
Brazil,01 January 2018,509997,2018
Argentina,01 January 2018,168635,2018
Italy,01 January 2018,151778,2018
Peru,01 January 2018,158270,2018
Turkey,01 January 2018,157329,2018
Antilles,01 January 2018,42566,2018
Belgium,01 January 2018,61654,2018
Aruba,01 January 2018,136376,2018
Atlantic Ocean,01 January 2018,33013,2018
Ireland,01 January 2018,156544,2018
Germany,01 January 2018,639447,2018
France,01 January 2018,469525,2018
Venezuela,01 January 2018,33345,2018
Colombia,01 January 2018,323931,2018
Russia,01 January 2018,67879,2018
Hong Kong,01 December 2017,284999,2017
United Arab Emirates,01 December 2017,300102,2017
Denmark,01 December 2017,67004,2017
Iceland,01 December 2017,145337,2017
Israel,01 December 2017,118552,2017
Australia,01 December 2017,286597,2017
Panama,01 December 2017,297779,2017
Japan,01 December 2017,830588,2017
Chile,01 December 2017,102066,2017
Switzerland,01 December 2017,181294,2017
Ireland,01 December 2017,212411,2017
Taiwan,01 December 2017,258992,2017
Philippines,01 December 2017,88180,2017
New Zealand,01 December 2017,113288,2017
Trinidad and Tobago,01 December 2017,87231,2017
Spain,01 December 2017,250962,2017
China,01 December 2017,689274,2017
Peru,01 December 2017,157610,2017
Dominican Republic,01 December 2017,575431,2017
Netherlands,01 December 2017,379750,2017
Atlantic Ocean,01 December 2017,47167,2017
Antilles,01 December 2017,40600,2017
Aruba,01 December 2017,144092,2017
Guatemala,01 December 2017,112978,2017
Ecuador,01 December 2017,96612,2017
Mexico,01 December 2017,2865915,2017
Canada,01 December 2017,2434302,2017
Jamaica,01 December 2017,353512,2017
El Salvador,01 December 2017,167795,2017
Honduras,01 December 2017,81407,2017
Haiti,01 December 2017,102562,2017
South Korea,01 December 2017,585739,2017
Brazil,01 December 2017,443819,2017
Turkey,01 December 2017,162493,2017
Costa Rica,01 December 2017,266498,2017
United Kingdom,01 December 2017,1502972,2017
France,01 December 2017,539199,2017
Belgium,01 December 2017,72049,2017
Germany,01 December 2017,688111,2017
Italy,01 December 2017,186292,2017
Cayman Islands,01 December 2017,91900,2017
Bahamas,01 December 2017,247157,2017
Argentina,01 December 2017,159223,2017
Venezuela,01 December 2017,36549,2017
Colombia,01 December 2017,327421,2017
Russia,01 December 2017,71224,2017
Chile,01 November 2017,85756,2017
Panama,01 November 2017,245526,2017
Switzerland,01 November 2017,162007,2017
Australia,01 November 2017,249115,2017
Ireland,01 November 2017,231167,2017
Philippines,01 November 2017,70742,2017
Peru,01 November 2017,150820,2017
Spain,01 November 2017,233552,2017
Taiwan,01 November 2017,243564,2017
Denmark,01 November 2017,64980,2017
Russia,01 November 2017,63924,2017
Canada,01 November 2017,2336999,2017
Ecuador,01 November 2017,93665,2017
Iceland,01 November 2017,150735,2017
United Arab Emirates,01 November 2017,300856,2017
Hong Kong,01 November 2017,269802,2017
Israel,01 November 2017,123746,2017
United Kingdom,01 November 2017,1425580,2017
Netherlands,01 November 2017,366457,2017
Costa Rica,01 November 2017,185100,2017
Antilles,01 November 2017,33519,2017
Belgium,01 November 2017,66053,2017
Atlantic Ocean,01 November 2017,51616,2017
Aruba,01 November 2017,124044,2017
Haiti,01 November 2017,83437,2017
Mexico,01 November 2017,2289747,2017
Jamaica,01 November 2017,289857,2017
Japan,01 November 2017,826046,2017
China,01 November 2017,584985,2017
Dominican Republic,01 November 2017,464966,2017
El Salvador,01 November 2017,145723,2017
Honduras,01 November 2017,66752,2017
